epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.100000,1.8046,32.93,1.5300,45.52
2,0.099994,1.3781,50.30,1.1729,60.14
3,0.099975,1.1947,57.42,1.1893,61.36
4,0.099944,1.0834,61.75,1.4208,56.30
5,0.099901,1.0022,64.97,0.8948,69.66
6,0.099846,0.9628,66.43,0.7922,73.52
7,0.099778,0.9257,67.82,0.8322,72.12
8,0.099698,0.9062,68.46,1.1081,65.76
9,0.099606,0.8793,69.51,0.7192,74.72
10,0.099501,0.8624,70.12,0.7502,75.08
11,0.099384,0.8388,71.21,0.7261,75.76
12,0.099255,0.8359,71.01,0.9557,69.62
13,0.099114,0.8186,71.84,0.7325,75.94
14,0.098961,0.8117,71.73,0.9021,70.24
15,0.098796,0.8007,72.22,0.7894,74.18
16,0.098618,0.7964,72.25,0.8869,72.96
17,0.098429,0.7859,72.91,0.8295,74.40
18,0.098228,0.7849,72.88,0.7139,75.72
19,0.098015,0.7753,73.09,0.8165,74.50
20,0.097790,0.7729,73.33,0.8888,73.14
21,0.097553,0.7717,73.19,0.8328,72.72
22,0.097304,0.7602,73.67,0.6662,78.50
23,0.097044,0.7541,74.02,0.7420,76.06
24,0.096772,0.7506,73.94,0.5843,80.60
25,0.096489,0.7430,74.22,0.6469,77.46
26,0.096194,0.7406,74.35,0.7228,76.80
27,0.095888,0.7368,74.42,0.5730,80.76
28,0.095570,0.7293,74.82,0.6525,78.20
29,0.095241,0.7317,74.88,0.6642,78.14
30,0.094901,0.7381,74.52,0.6612,78.84
31,0.094550,0.7238,75.07,0.8020,74.78
32,0.094188,0.7162,75.27,0.5747,81.16
33,0.093815,0.7251,75.08,0.6235,79.82
34,0.093432,0.7246,74.87,0.7581,75.04
35,0.093037,0.7158,75.36,0.7302,76.78
36,0.092632,0.7140,75.36,0.5569,81.90
37,0.092216,0.7101,75.48,0.6457,79.06
38,0.091790,0.7097,75.45,0.6473,78.12
39,0.091354,0.7049,75.57,0.7022,77.14
40,0.090907,0.7038,75.62,0.5149,82.72
41,0.090451,0.7018,75.97,0.8195,75.00
42,0.089984,0.6972,75.88,0.5176,82.28
43,0.089508,0.6995,75.95,0.6426,79.62
44,0.089022,0.6951,76.05,0.6593,77.72
45,0.088526,0.6929,76.04,0.6257,79.06
46,0.088020,0.6916,76.13,0.5565,81.38
47,0.087506,0.6894,76.05,0.6222,79.26
48,0.086982,0.6816,76.46,0.5653,81.06
49,0.086448,0.6839,76.38,0.7218,76.98
50,0.085906,0.6785,76.53,0.6123,79.54
51,0.085355,0.6836,76.42,0.5532,81.84
52,0.084796,0.6738,76.64,0.7275,77.40
53,0.084227,0.6817,76.43,0.5219,82.78
54,0.083651,0.6787,76.61,0.5399,82.28
55,0.083066,0.6701,76.78,0.7683,73.58
56,0.082472,0.6672,76.87,0.5881,80.70
57,0.081871,0.6759,76.75,0.6433,79.70
58,0.081262,0.6646,77.04,0.5251,82.38
59,0.080645,0.6591,77.31,0.7372,76.22
60,0.080021,0.6605,77.27,0.8054,74.40
61,0.079389,0.6600,77.24,0.5496,81.48
62,0.078750,0.6572,77.33,0.6155,79.56
63,0.078104,0.6551,77.61,0.5656,81.16
64,0.077451,0.6544,77.36,0.6453,78.44
65,0.076791,0.6546,77.25,0.6590,78.34
66,0.076125,0.6514,77.49,0.6202,80.06
67,0.075452,0.6498,77.74,0.7729,77.22
68,0.074773,0.6421,77.66,0.5549,81.62
69,0.074088,0.6520,77.72,0.5004,83.12
70,0.073396,0.6447,77.76,0.5154,82.58
71,0.072700,0.6399,77.99,0.4803,84.76
72,0.071997,0.6385,78.01,0.5727,81.42
73,0.071289,0.6346,78.12,0.5915,80.98
74,0.070576,0.6299,78.12,0.6023,80.78
75,0.069857,0.6226,78.51,0.6181,79.88
76,0.069134,0.6281,78.42,0.6209,80.24
77,0.068406,0.6300,78.39,0.5080,83.50
78,0.067674,0.6242,78.57,0.5601,82.30
79,0.066937,0.6263,78.35,0.5783,81.46
80,0.066196,0.6219,78.70,0.5481,82.56
81,0.065451,0.6206,78.71,0.4942,84.40
82,0.064702,0.6154,78.75,0.5846,80.44
83,0.063950,0.6158,78.86,0.5957,80.60
84,0.063194,0.6084,79.16,0.5754,81.38
85,0.062434,0.6150,78.70,0.4616,84.26
86,0.061672,0.6053,79.15,0.6025,80.70
87,0.060907,0.6035,79.10,0.5061,84.12
88,0.060139,0.5990,79.20,0.4803,84.20
89,0.059369,0.6012,79.28,0.4408,85.76
90,0.058596,0.5981,79.38,0.5048,83.52
91,0.057822,0.6008,79.00,0.5050,83.44
92,0.057045,0.5986,79.23,0.4551,84.74
93,0.056267,0.5897,79.65,0.4695,84.26
94,0.055487,0.5895,79.85,0.4323,86.00
95,0.054705,0.5851,79.93,0.4364,85.10
96,0.053923,0.5893,79.61,0.5221,83.04
97,0.053140,0.5807,79.98,0.4481,85.00
98,0.052355,0.5838,80.06,0.4272,86.12
99,0.051571,0.5742,80.18,0.4833,84.00
100,0.050785,0.5733,80.25,0.5222,82.20
101,0.050000,0.5737,80.13,0.4704,84.28
102,0.049215,0.5634,80.45,0.4236,86.40
103,0.048429,0.5630,80.53,0.4128,85.92
104,0.047645,0.5642,80.40,0.6461,80.22
105,0.046860,0.5619,80.67,0.4734,84.78
106,0.046077,0.5600,80.77,0.5125,83.20
107,0.045295,0.5473,81.05,0.4634,84.50
108,0.044513,0.5430,81.16,0.4193,85.38
109,0.043733,0.5569,80.79,0.5082,83.00
110,0.042955,0.5433,81.23,0.4090,86.52
111,0.042178,0.5402,81.31,0.4106,86.84
112,0.041404,0.5370,81.37,0.4509,85.18
113,0.040631,0.5389,81.18,0.4273,85.82
114,0.039861,0.5353,81.49,0.4239,86.16
115,0.039093,0.5359,81.51,0.4132,86.32
116,0.038328,0.5251,81.94,0.4620,85.54
117,0.037566,0.5285,81.71,0.4022,86.54
118,0.036806,0.5243,81.63,0.4103,87.04
119,0.036050,0.5252,81.76,0.4443,85.52
120,0.035298,0.5166,82.09,0.4997,84.04
121,0.034549,0.5121,82.42,0.4070,86.46
122,0.033804,0.5111,82.22,0.4663,85.04
123,0.033063,0.5136,82.38,0.4355,85.74
124,0.032326,0.5049,82.53,0.3708,87.78
125,0.031594,0.5024,82.76,0.3570,87.68
126,0.030866,0.5025,82.65,0.3761,87.84
127,0.030143,0.4934,83.15,0.3900,86.52
128,0.029424,0.4932,82.96,0.4152,86.84
129,0.028711,0.4861,83.20,0.3917,86.80
130,0.028003,0.4840,83.15,0.3693,88.04
