======================================================================
  CIFAR-10 Training: ResNet-20
======================================================================
  Epochs: 200 | Batch: 128 | LR: 0.1
  Weight Decay: 0.0005 | Optimizer: sgd
  Scheduler: CosineAnnealingLR (T_max=200)
  Early Stop: patience=25 | min_delta=0.01
----------------------------------------------------------------------
  Data: 45000 train | 5000 val
----------------------------------------------------------------------
  Model: ResNet-20 | 0.27M params | AMP: True
----------------------------------------------------------------------
Epoch: 001/200 | LR: 0.100000 | Train Loss: 1.7862 | Train Acc: 33.73% | Val Loss: 1.9110 | Val Acc: 40.26% | Best: 40.26% * | Patience: 0/25 | Time: 28.3s
Epoch: 002/200 | LR: 0.099994 | Train Loss: 1.3608 | Train Acc: 50.90% | Val Loss: 1.4980 | Val Acc: 52.60% | Best: 52.60% * | Patience: 0/25 | Time: 9.9s
Epoch: 003/200 | LR: 0.099975 | Train Loss: 1.1871 | Train Acc: 57.88% | Val Loss: 1.1253 | Val Acc: 63.48% | Best: 63.48% * | Patience: 0/25 | Time: 10.0s
Epoch: 004/200 | LR: 0.099944 | Train Loss: 1.0844 | Train Acc: 61.97% | Val Loss: 1.0148 | Val Acc: 67.56% | Best: 67.56% * | Patience: 0/25 | Time: 10.0s
Epoch: 005/200 | LR: 0.099901 | Train Loss: 1.0154 | Train Acc: 64.46% | Val Loss: 1.1974 | Val Acc: 65.38% | Best: 67.56% | Patience: 0/25 | Time: 10.0s
Epoch: 006/200 | LR: 0.099846 | Train Loss: 0.9707 | Train Acc: 66.30% | Val Loss: 0.9444 | Val Acc: 68.86% | Best: 68.86% * | Patience: 0/25 | Time: 10.0s
Epoch: 007/200 | LR: 0.099778 | Train Loss: 0.9394 | Train Acc: 67.27% | Val Loss: 0.7840 | Val Acc: 73.30% | Best: 73.30% * | Patience: 0/25 | Time: 10.1s
Epoch: 008/200 | LR: 0.099698 | Train Loss: 0.9075 | Train Acc: 68.60% | Val Loss: 0.8492 | Val Acc: 72.72% | Best: 73.30% | Patience: 0/25 | Time: 11.1s
Epoch: 009/200 | LR: 0.099606 | Train Loss: 0.8836 | Train Acc: 69.46% | Val Loss: 0.8225 | Val Acc: 71.54% | Best: 73.30% | Patience: 0/25 | Time: 10.7s
Epoch: 010/200 | LR: 0.099501 | Train Loss: 0.8630 | Train Acc: 69.96% | Val Loss: 1.1974 | Val Acc: 64.92% | Best: 73.30% | Patience: 1/25 | Time: 9.5s
Epoch: 011/200 | LR: 0.099384 | Train Loss: 0.8462 | Train Acc: 70.64% | Val Loss: 0.7882 | Val Acc: 73.98% | Best: 73.98% * | Patience: 0/25 | Time: 10.3s
Epoch: 012/200 | LR: 0.099255 | Train Loss: 0.8440 | Train Acc: 70.67% | Val Loss: 0.8795 | Val Acc: 72.64% | Best: 73.98% | Patience: 1/25 | Time: 8.7s
Epoch: 013/200 | LR: 0.099114 | Train Loss: 0.8243 | Train Acc: 71.50% | Val Loss: 1.2490 | Val Acc: 63.88% | Best: 73.98% | Patience: 2/25 | Time: 8.8s
Epoch: 014/200 | LR: 0.098961 | Train Loss: 0.8158 | Train Acc: 71.84% | Val Loss: 1.0080 | Val Acc: 68.84% | Best: 73.98% | Patience: 3/25 | Time: 8.7s
Epoch: 015/200 | LR: 0.098796 | Train Loss: 0.8061 | Train Acc: 72.12% | Val Loss: 0.7725 | Val Acc: 74.54% | Best: 74.54% * | Patience: 0/25 | Time: 8.7s
Epoch: 016/200 | LR: 0.098618 | Train Loss: 0.8034 | Train Acc: 72.14% | Val Loss: 0.6831 | Val Acc: 77.28% | Best: 77.28% * | Patience: 0/25 | Time: 9.3s
Epoch: 017/200 | LR: 0.098429 | Train Loss: 0.7915 | Train Acc: 72.57% | Val Loss: 1.4752 | Val Acc: 62.26% | Best: 77.28% | Patience: 1/25 | Time: 10.0s
Epoch: 018/200 | LR: 0.098228 | Train Loss: 0.7840 | Train Acc: 72.81% | Val Loss: 0.7797 | Val Acc: 74.46% | Best: 77.28% | Patience: 0/25 | Time: 10.3s
Epoch: 019/200 | LR: 0.098015 | Train Loss: 0.7805 | Train Acc: 72.85% | Val Loss: 0.9248 | Val Acc: 71.04% | Best: 77.28% | Patience: 1/25 | Time: 9.0s
Epoch: 020/200 | LR: 0.097790 | Train Loss: 0.7752 | Train Acc: 72.95% | Val Loss: 1.1197 | Val Acc: 68.18% | Best: 77.28% | Patience: 2/25 | Time: 8.8s
Epoch: 021/200 | LR: 0.097553 | Train Loss: 0.7759 | Train Acc: 73.30% | Val Loss: 0.6789 | Val Acc: 77.60% | Best: 77.60% * | Patience: 0/25 | Time: 8.6s
Epoch: 022/200 | LR: 0.097304 | Train Loss: 0.7663 | Train Acc: 73.57% | Val Loss: 0.7877 | Val Acc: 76.18% | Best: 77.60% | Patience: 1/25 | Time: 8.6s
Epoch: 023/200 | LR: 0.097044 | Train Loss: 0.7562 | Train Acc: 73.78% | Val Loss: 0.6353 | Val Acc: 78.84% | Best: 78.84% * | Patience: 0/25 | Time: 8.6s
Epoch: 024/200 | LR: 0.096772 | Train Loss: 0.7541 | Train Acc: 73.88% | Val Loss: 0.6699 | Val Acc: 78.80% | Best: 78.84% | Patience: 0/25 | Time: 8.7s
